base_url,params,full_url
https://feeds.datagolf.com/get-player-list,file_format=json,https://feeds.datagolf.com/get-player-list?file_format=json&key=27ae4c1d702ce9a899bb4ff56cf9
https://feeds.datagolf.com/get-schedule,tour=all&file_format=json,https://feeds.datagolf.com/get-schedule?tour=all&file_format=json&key=27ae4c1d702ce9a899bb4ff56cf9
https://feeds.datagolf.com/get-schedule,tour=pga&file_format=json,https://feeds.datagolf.com/get-schedule?tour=pga&file_format=json&key=27ae4c1d702ce9a899bb4ff56cf9
https://feeds.datagolf.com/get-schedule,tour=euro&file_format=json,https://feeds.datagolf.com/get-schedule?tour=euro&file_format=json&key=27ae4c1d702ce9a899bb4ff56cf9
https://feeds.datagolf.com/get-schedule,tour=kft&file_format=json,https://feeds.datagolf.com/get-schedule?tour=kft&file_format=json&key=27ae4c1d702ce9a899bb4ff56cf9
https://feeds.datagolf.com/get-schedule,tour=alt&file_format=json,https://feeds.datagolf.com/get-schedule?tour=alt&file_format=json&key=27ae4c1d702ce9a899bb4ff56cf9
https://feeds.datagolf.com/field-updates,tour=pga&file_format=json,https://feeds.datagolf.com/field-updates?tour=pga&file_format=json&key=27ae4c1d702ce9a899bb4ff56cf9
https://feeds.datagolf.com/field-updates,tour=euro&file_format=json,https://feeds.datagolf.com/field-updates?tour=euro&file_format=json&key=27ae4c1d702ce9a899bb4ff56cf9
https://feeds.datagolf.com/field-updates,tour=kft&file_format=json,https://feeds.datagolf.com/field-updates?tour=kft&file_format=json&key=27ae4c1d702ce9a899bb4ff56cf9
https://feeds.datagolf.com/field-updates,tour=opp&file_format=json,https://feeds.datagolf.com/field-updates?tour=opp&file_format=json&key=27ae4c1d702ce9a899bb4ff56cf9
https://feeds.datagolf.com/field-updates,tour=alt&file_format=json,https://feeds.datagolf.com/field-updates?tour=alt&file_format=json&key=27ae4c1d702ce9a899bb4ff56cf9
https://feeds.datagolf.com/preds/get-dg-rankings,file_format=json,https://feeds.datagolf.com/preds/get-dg-rankings?file_format=json&key=27ae4c1d702ce9a899bb4ff56cf9
https://feeds.datagolf.com/preds/skill-ratings,display=value&file_format=json,https://feeds.datagolf.com/preds/skill-ratings?display=value&file_format=json&key=27ae4c1d702ce9a899bb4ff56cf9
https://feeds.datagolf.com/preds/skill-ratings,display=rank&file_format=json,https://feeds.datagolf.com/preds/skill-ratings?display=rank&file_format=json&key=27ae4c1d702ce9a899bb4ff56cf9
https://feeds.datagolf.com/preds/approach-skill,period=l24&file_format=json,https://feeds.datagolf.com/preds/approach-skill?period=l24&file_format=json&key=27ae4c1d702ce9a899bb4ff56cf9
https://feeds.datagolf.com/preds/approach-skill,period=l12&file_format=json,https://feeds.datagolf.com/preds/approach-skill?period=l12&file_format=json&key=27ae4c1d702ce9a899bb4ff56cf9
